list,,headword,nonprimary sense,number,lemma,pronunciation,nonstandard_variant,variants,word_class,class_added_manually,type,spoken_words,language_origin,domain,definition,info,example_sentence,etymology,derivative_forms,multi-word_forms,proverb,idiom,definition_type_1,definition_type_2
bunyi hamzah,,bejo,,,,/bêjo/,,,adjective,,,,Jawa,,untung; beruntung,,,,,,,,Synonym,
burem,,bekekok,,,,/bêkekok/,,,noun,,,,Bali,,anak bekisar dari induk ayam buras,,,,,,,,Analitical,
buta gender,,belavukan,,,,/bêlavukan/,,,noun,,,,Bahau,,luka-luka di kulit pohon,,,,,,,,Analitical,
caba,,belawing,,,,/bêlawing/,,,noun,,,,Kenyah,,"tiang atau monumen yang diukir dengan motif khas Dayak Kenyah, memiliki hiasan burung enggang pada puncaknya sebagai tanda suatu permukiman komunitas Dayak, dahulu digunakan sebagai tempat penyembahan atau ritual",,,,,,,,Analitical,
cacadan,,belesir,,,lesir (1),,,,verb,,,,,,berlesir,,,,,,,,Synonym,
cage,,beleter,,,,/bêleter/,,,verb,yes,,,,,→ leter (1),,,,,,,,Cross-reference,
cahaya biru,,bembang,,,,/bêmbang/,,,adjective,,,,,,mekar; kembang (tentang daun),,,,,,,,Synonym,
cahaya tampak,,bener meriah,,,,/bènèr mêriah/,,,noun,,,,,,"kabupaten di Provinsi Aceh, ibu kotanya Simpang Tiga Redelong",,,,,,,,Analitical,
cakar-cakaran,,benih padi,,,benih,,,,noun,yes,,,,Pertanian,biji padi yang disemai,,,,,,,,Analitical,
cakwe,,bepa pute,,,,,,,noun,,,,Bugis,,"kue putih yang terbuat dari tepung beras, bentuknya bervariasi, digoreng lalu dilumuri dengan tepung gula, wajib ada dalam hantaran pengantin pria karena kue ini disimbolkan sebagai perempuan",,,,,,,,Analitical,
campoang,,beperhiasan,,,hias,,,,verb,,,,,,mengenakan perhiasan,,~ terlalu banyak dapat mengundang aksi kejahatan,,,,,,Analitical,
campursari,,beraneka jenis,,,aneka jenis,,,,adjective,,,,,,berbagai jenis,,,,,,,,Synonym,
Canggal,,berbalasan,,,balas (1),,,,verb,,,,,,saling berbalas; berbalas-balasan,,cerita tersebut diawali dengan ~ pantun,,,,,,Analitical,Synonym
caprakad,,berdana,,,dana,,,,verb,,,,,,memiliki dana,,proyek perbaikan gedung tersebut ~ cukup besar,,,,,,Analitical,
catra,,berdana,,,dana,,,,verb,,,,,,menghabiskan dana,,dia kerap terlibat dalam proyek film ~ fantastis,,,,,,Analitical,
cattāri ariyasaccāni,,berdentur,,,dentur,,,,verb,,,,,,mengeluarkan bunyi dentur,,,,,,,,Analitical,
Catur Weda,,berdenyit-denyit,,,denyit,,,,verb,,,,,,berdenyit berulang kali,,,,,,,,Analitical,
cawan-cawan lutut,,berdepus,,,depus,/berdêpus/,,,verb,,,,,,mengeluarkan bunyi depus,,,,,,,,Analitical,
CCP,,berderan,,,deran,,,,verb,,,,,,berbunyi deran,,,,,,,,Analitical,
ceguk,,berderuk-deruk,,,deruk,,,,verb,,,,,,berderuk berulang kali,,,,,,,,Analitical,
celana komprang,,berderum-derum,,,derum (2),,,,verb,,,,,,berderum berulang kali,,,,,,,,Analitical,
celetok,,berderung,,,derung (2),,,,verb,,,,,,mengeluarkan bunyi derung,,,,,,,,Analitical,
celola,,berderup,,,derup,,,,verb,,,,,,mengeluarkan bunyi derup,,,,,,,,Analitical,
celolmeo,,berderup-derup,,,derup,,,,verb,,,,,,berderup berulang kali,,,,,,,,Analitical,
cemceman,,berdesis,,,desis,,,,verb,,,,,,mendesis,,,,,,,,Synonym,
cemceman,,berdesit,,,desit,,,,verb,,,,,,mengeluarkan bunyi desit,,,,,,,,Analitical,
cendawan merah,,berdesuk,,,desuk,,,,verb,,,,,,mengeluarkan bunyi desuk,,,,,,,,Analitical,
centang,,berdeting,,,deting,,,,verb,,,,,,mengeluarkan bunyi deting,,,,,,,,Analitical,
cente,,berdetus-detus,,,detus,,,,verb,,,,,,berdetus berulang kali,,,,,,,,Analitical,
ceplukan,,berdiploma,,,diploma,,,,verb,,,,,,memiliki diploma,,,,,,,,Analitical,
cerabut,,berempah,,,rempah (2),,,,verb,,,,,,mengandung rempah,,parfum itu menguarkan aroma lembut dan ~,,,,,,Analitical,
cetiya,,berempah,,,rempah (2),,,,verb,,,,,,memakai rempah,,ayam goreng ~ menjadi menu andalan restoran tersebut,,,,,,Analitical,
cewo,,berempuh-rempuh,,,rempuh,,,,verb,,,,,,berebut-rebut hendak mendahului dan sebagainya,,saya ~ membeli tiket,,,,,,Analitical,
CGS,,bergedel,,,,/bêrgêdel/,,,verb,yes,,,,,→ perkedel,,,,,,,,Cross-reference,
cia,,bergemetar,,,gemetar,,,,verb,,,,,,bergetar,,,,,,,,Synonym,
cici,,bergenggaman,,,genggam,,,,verb,,,,,,saling bergenggam (menggenggam),,mereka selalu ~ tangan saat berjalan bersama,,,,,,Analitical,Synonym
cicirumbu,,berkewarganegaraan,,,warga negara,,,,verb,,,,,,memiliki kewarganegaraan,,adik dinikahi pria yang ~ Australia,,,,,,Analitical,
cincai,,berkinca,,,kinca,,,,verb,,,,,,memakai kinca,,dia sedang menikmati serabi manis ~,,,,,,Analitical,
cinta platonik,,bermad,,,,/bêrmad/,,,noun,,,,Jawa,,pedagang kebutuhan nelayan atau masyarakat di sekitar laut (pantai),,,,,,,,Analitical,
cinta segitiga,,berowah,,,,/bêrowah/,,,verb,,,,Melayu Kalimantan,,tahlilan menjelang bulan Ramadan,,bapak sedang pergi -- di rumah pak lurah,,,,,,Analitical,
cinta setengah mati,,beroyalti,,,royalti,,,,verb,,,,,,memiliki royalti,,lagu tersebut termasuk salah satu karya seni ~ tinggi,,,,,,Analitical,
ciparanje,,berperanan,,,peran (1),,,,verb,,,,,,memiliki peranan,,program tersebut ~ penting dalam pengembangan industri perfilman,,,,,,Analitical,
ciremi,,berpermukaan,,,muka,,,,verb,,,,,,memiliki permukaan,,,,,,,,Analitical,
citra satelit,,bersepit,,,sepit,,,,verb,,,,,,mempunyai sepit,,ketam merupakan kepiting berkaki enam dan ~,,,,,,Analitical,
Citta,,bertanggungjawab,,,tanggung jawab,,,,verb,yes,,,,,→ bertanggung jawab,,,,,,,,Cross-reference,
clemer,,bezel,,,,/bezêl/,,,noun,,,,,,"bingkai luar layar komputer, ponsel, atau  peralatan elektronik lainnya",,,,,,,,Analitical,
colet,,bidat,yes,2,,,,,noun,,,,,Agama Kristen,persekutuan kecil Kristen yang dengan sengaja memisahkan diri dari gereja besar dan mengembangkan doktrin baru yang bertentangan dengan doktrin esensial; bidah,,,,,,,,Analitical,
colongan,,biji timun,,,biji (1),,,,noun,yes,,,Melayu Jambi,,"motif batik Jambi, bentuknya menyerupai biji mentimun",,,,,,,,Analitical,
condre,,bikayaon,,,,,,,adjective,,,,,,gelisah yang mengakibatkan susah tidur,,,,,,,,Analitical,
cuacaru,,bikoang,,,,,,,noun,,,,,,lekuk yang berada di antara bahu dan pangkal leher,,,,,,,,Analitical,
cubek,,bikuni,,,,,,,noun,,,,,Agama Buddha,biksuni,,,,,,,,Synonym,
cubluk,,bilangan riil,,,"bilang (1), bilangan",,,,noun,yes,,,,Matematika,"bilangan yang dipakai untuk mengukur kuantitas dimensi satu yang sinambung seperti jarak, durasi, atau suhu",,,,,,,,Analitical,
cucak timor,,bilik manikur,,,bilik (1),,,,noun,yes,,,,,"bilik yang menyediakan layanan manikur, biasa ditemui di stasiun atau mal",,,,,,,,Analitical,
cue,,biodemografi,,,,,,,noun,,,,,,ilmu yang mempelajari pengaruh faktor biologis pada pola demografi,,,,,,,,Analitical,
dahar kembul,,biring,yes,4,,,,,noun,,,,Dayak,,bagian tepi kulit (pada bulus atau penyu),,-- penyu itu melukai kakinya,,,,,,Analitical,
dakhineyo,,bituing bowong,,,,,,,noun,,,,Sangir,,"rasi bintang yang menunjukkan arah selatan, biasa digunakan untuk menunjukkan daratan saat melaut",,,,,,,,Analitical,
danau kawah,,bivalen,,,,,,,adjective,,,,,Kimia,memiliki dua valensi,,,,,,,,Analitical,
danau tektovulkanis,,bivalen,,,,,,,adjective,,,,,Biologi,berkaitan dengan asosiasi dua kromosom homolog,,,,,,,,Analitical,
dapur bersama,,bivalen,,,,,,,noun,,,,,Biologi,"sepasang kromosom, terutama saat meiosis",,,,,,,,Analitical,
dapur hantu,,ble,,,,,,,verb,,,,Melayu Jambi,,berlayar mencari ikan seharian,,kami -- di laut,,,,,,Analitical,
darne,,bmd,,,,,,,noun,,abbreviation,,,,barang milik daerah (barang yang dibeli atau diperoleh atas beban Anggaran Pendapatan dan Belanja Daerah atau berasal dari perolehan lainnya yang sah),,,,,,,,Abbreviation Expansion,Analitical
dasair,,bmn,,,,,,,noun,,abbreviation,,,,barang milik negara (barang yang dibeli atau diperoleh atas beban Anggaran Pendapatan dan Belanja Negara atau berasal dari perolehan lainnya yang sah),,,,,,,,Abbreviation Expansion,Analitical
dasawisma,,bobat,yes,2,,,,,noun,,,,,,"suku bangsa yg berasal dr atau mendiami wilayah Kabupaten Seram Bagian Timur, Provinsi Maluku",,,,,,,,Analitical,
daun rambu,,bobat,yes,2,,,,,noun,,,,,,bahasa yg dituturkan oleh suku Bobat,,,,,,,,Analitical,
Dawelor,,boitan,,,,,,,noun,,,,,,"batu asah besar berukuran besar, digunakan untuk mengasah benda tajam selain pisau, seperti parang, tombak, dan lain-lain",,,,,,,,Analitical,
demprak,,bolonta,,,,,,,noun,,,,Kulisusu,,lubang pada rumah panggung,,,,,,,,Analitical,
depresi pascalahir,,bolot,yes,2,,,,,noun,,,yes,,,daki1,,,,,,,,Synonym,
depresi perinatal,,bolot,yes,2,,,,,adjective,,,yes,,,tuli; pekak,,,,,,,,Synonym,
depresi prenatal,,bolot,yes,2,,,,,adjective,,,yes,,,bodoh; tolol,,,,,,,,Synonym,
depresi tersenyum,,bom curah,,,bom (1),,,,noun,yes,,,,,bom klaster; bom tandan,,,,,,,,Synonym,
devolusi,,bombo dikita,,,,,,,noun,,,,Toraja,,roh orang Toraja yang telah meninggal dan dapat dilihat pada patung kayu yang dibuat menyerupainya,,,,,,,,Analitical,
Dewi Padi,,bonyo,,,,,,,noun,,,,,,patahan beras sisa penapisan berukuran kecil,,,,,,,,Analitical,
Dewi Sri,,borak-borak,,,,,,,noun,,,,Toraja,,"kain kasar hasil tenun khas Toraja, dibuat dari benang nanas atau kapuk, digunakan sebagai pembungkus mayat",,,,,,,,Analitical,
diametris,,bosi,,,,,,,noun,,,,,,"pelepah sagu berbentuk tabung, digunakan untuk membawa barang (seperti kayu bakar, daun pisang), biasanya digunakan oleh perempuan",,,,,,,,Analitical,
diberkas,,braseri,,,,/brasêri/,,,noun,,,,,,tempat makan yang menyediakan bir,,,,,,,,Analitical,
diet rendah garam,,bratu,,,,,,,noun,,,,,,bandar judi,,,,,,,,Analitical,
digul,,bratu,,,,,,,noun,,,,,,uang pinjaman supaya bisa melanjutkan permainan judi,,,,,,,,Analitical,
dikdas,,bratu,,,,,,,noun,yes,,,,,uang tambahan; bonus,,,,,,,,Analitical,Synonym
dikmen,,bromansa,,,,,,,noun,,,,,,hubungan persahabatan mendalam antarpria yang bersifat mesra dan afektif tanpa ketertarikan seksual,,,,,,,,Analitical,
dimensi satu,,brunois kecil,,,brunois,,,,noun,yes,,,,Tata Boga,"potongan berbentuk kubus dengan ukuran sekitar 1,5 mm, lebih kecil daripada brunois",,,,,,,,Analitical,
Dinoyo,,buah zakar,,,buah,,,,noun,yes,,,,,buah pelir,,,,,,,,Synonym,
disdukcapil,,bubur jagung,,,bubur,,,,noun,yes,,,,,"bubur yang terbuat dari jagung halus, dicampur santan, gula, dan daun pandan, dimasak dengan cara direbus",,,,,,,,Analitical,
disfemisme,,bubusi,,,,,,,verb,,,,Tolaki,,menyiram batu nisan,,saat akan tiba bulan puasa banyak orang yang pulang ke kampung untuk -- kuburan orang tua mereka,,,,,,Analitical,
dislipidemia,,budel,,,,/budêl/,,,noun,,,,Jawa,,barang-barang warisan,,,,,,,,Analitical,
docang,,bujang lapuk,,,bujang (1),,,,noun,yes,,,,,pria yang sudah berusia tua tetapi belum menikah,,terlalu banyak memilih akan membuat seseorang menjadi perawan tua atau -- lapuk,,,,,,Analitical,
dodal,,BUKU,,,,,,,noun,,abbreviation,,,,"bank umum berdasarkan kegiatan usaha (sistem pengelompokan bank yang terdiri atas BUKU 1, BUKU 2, BUKU 3, dan BUKU 4, didasarkan pada kegiatan usaha yang disesuaikan dengan jumlah modal inti)",,,,,,"bertemu ruas dengan buku, bertemu ruas dengan buku, cari umbut kena buku, mengadu buku jari (mengadu buku lima), mengadu buku lidah, pilih-pilih ruas, terpilih pada buku, pilih-pilih ruas, terpilih pada buku (terkena buku buluh), seperti buku gaharu, terentak ruas ke buku",tidak masuk buku,Analitical,
dompo,,buku komunikasi,,,buku (1),,,,noun,yes,,,,Perhotelan,"buku yang digunakan untuk mencatat berbagai kejadian khusus yang perlu ditindaklanjuti, digunakan oleh staf kantor depan",,,,,,,,Analitical,
dudup,,bukut,yes,2,,,,,noun,,,,,,orang yang ditugaskan khusus untuk menjaga kamar tempat penyimpanan makanan pada acara pesta sebelum makanan disajikan,,,,,,,,Analitical,
dukwa,,bulan sabit merah,,,bulan,,,,noun,yes,,,,,organisasi kemanusiaan yang berfungsi sebagai Palang Merah di negara-negara Islam,,,,,,,,Analitical,
dusa,,bulansing,,,,,,,noun,,,,,,mata kaki,,,,,,,,Synonym,
Dzongkha,,buling,,,,,,,noun,,,,Melayu Jambi,,"potongan rotan yang ditusukkan ke hidung kerbau, kemudian dijalin dengan  tali  membentuk lingkaran kecil, berfungsi untuk menarik kerbau",,orang-orang yang mempunyai ternak kerbau biasanya  mengenakan -- pada kerbaunya,,,,,,Analitical,
efek Mandela,,buluh peleting,,,buluh,,,,noun,yes,,,,,tabung bambu tempat kumparan benang (tentang peralatan tenun),,,,,,,,Analitical,
efek senjata,,bumbu dapur,,,bumbu,,,,noun,yes,,,,,"aneka bumbu yang digunakan untuk memasak, terdiri atas jahe, kunyit, serai dan sebagainya",,,,,,,,Analitical,
efek tiru,,bundanco,,,,,,,noun,,,,Jepang,,komandan regu pada masa Jepang,,,,,,,,Analitical,
egosentrik,,bungan,,,,,,,noun,,,,Dayak,,wadah mata sumpit,,,,,,,,Analitical,
egrang batok,,bungkiang,,,,,,,noun,,,,Sunda,,perut binatang yang lebar ke pinggir karena hamil,,,,,,,,Analitical,
ekaraga,,bungkus tubuh,,,bungkus,,,,noun,yes,,,,,"perawatan kuit dengan penempelan aneka pembungkus setelah pemberian masker atau krim selulit, seperti daun pisang, plastik, alumunium foil, dan lainnya",,,,,,,,Analitical,
EKG,,bunyi hamzah,,,bunyi (1),,,,noun,yes,,,,,hamzah,,,,,,,,Synonym,
ekomania,,burem,,,,,,,noun,,,,Kur,,anak panah tradisional yang terbuat dari tulang daun rumbia,,,,,,,,Analitical,
ekomorfologi,,buta gender,,,buta (1),,,,adjective,yes,,,,,tidak membeda-bedakan berdasarkan gender,,,,,,,,Analitical,
ekonomi digital,,caba,yes,2,,,,,noun,,acronym,,,,calon bintara,,,,,,,,Other,
ekowisatawan,,cacadan,,,,,,,noun,,,,Sunda,,kayu penghubung bajak dan kerbau yang dijadikan pijakan pembajak,,,,,,,,Analitical,
eksokanibalisme,,cacing nipah,,,cacing,,,,noun,yes,,,,,"cacing yang memiliki panjang 100—200 cm, berwarna merah muda cerah, biasanya digunakan sebagai umpan pancing dan pendaur ulang nutrien dan sumber protein, hidup di hutan bakau, tersebar di Asia Tenggara; pumpun",〔Namalycastis rhodochorde〕,,,,,,,Analitical,Synonym
eksokrin,,cage,,,,,,,noun,,,,Awyu,,"tarian tradisional khas Awyu, dibawakan oleh laki-laki dan perempuan dengan iringan suara tifa dan nyanyian",,,,,,,,Analitical,
ekstemporan,,cahaya biru,,,cahaya,,,,noun,yes,,,,,"cahaya tampak berenergi tinggi dengan panjang gelombang antara 400 hingga 495 nanometer, biasanya digunakan pada peranti elektronik seperti laptop, televisi, dan ponsel untuk meningkatkan keterangan dan kejelasan layar; sinar biru",,,,,,,,Encyclopedic,Synonym
eksternalitas,,cahaya tampak,,,cahaya,,,,noun,yes,,,,Fisika,rentang radiasi elektromagnetik yang dapat dilihat oleh mata manusia dengan panjang gelombang sekitar 380 hingga 750 nanometer dan frekuensi sekitar 430 hingga 750 terahertz,,,,,,,,Analitical,Synonym
elevasi jalan,,cakar-cakaran,,,cakar (1),,,,verb,,,yes,,,bercakar-cakaran,,aksi ~ antartetangga tersebut menjadi tontonan warga,,,,,,Synonym,
elevasi surut,,cakwe,,,,,,,noun,,,,Cina,,"penganan tradisional khas Tionghoa berupa roti goreng panjang, rasanya asin dan gurih, biasanya ditaburkan ke bubur atau dimakan bersama kopi",,,,,,,,Analitical,
emosi palsu,,campoang,,,,,,,noun,,,,Jawa,,orang yang membersihkan kapal; perawat kapal,,,,,,,,Analitical,Synonym
empat kebenaran mulia,,campursari,yes,2,,,,,noun,,,,,Kesenian,seni musik dengan perpaduan antara tangga nada diatonik dan pentatonik,,,,,,,,Analitical,
endonim,,canggal,yes,2,,,,,noun,,,,,,"prasasti peninggalan kerajaan Mataram Kuno, dibuat pada masa pemerintahan Sanjaya tahun 654 Saka, berisi tentang peresmian lingga oleh raja untuk keselamatan dan kesejahteraan rakyatnya, ditulis dengan huruf Pallawa dalam bahasa Sanskerta",,,,,,,,Analitical,
entik,,caprakad,,,,,,,noun,,acronym,,,,calon prajurit kadet,,,,,,,,Abbreviation Expansion,
entimen,,catra,,,,,,,noun,,,,Jawa,,payung kebesaran raja,,,,,,,,Analitical,
fabrigami,,cattāri ariyasaccāni,,,,,,,noun,yes,figurative,,Sanskerta,,"ajaran ajaran Buddha mengenai empat kebenaran, yaitu kebenaran adanya duka, penyebab duka, lenyapnya duka, dan jalan menuju akhir duka; empat kebenaran mulia",,,,,,,,Analitical,Synonym
FEB,,catur weda,,,,,,,noun,,,,,Agama Hindu,"empat bagian dari kitab Weda yang terdiri atas Regweda, Samaweda, Yajurweda, dan Atharwaweda",,,,,,,,Analitical,
femur,,cawan-cawan lutut,,,,,,,noun,,,,,,cencawan,,,,,,,,Synonym,
ferule,,ccp,,,,,,,verb,,abbreviation,yes,,,curi-curi pandang,,kita -- saat bertemu pertama kali,,,,,,Abbreviation Expansion,
FIK,,ceguk,yes,2,,/cêguk/,,,noun,,,,,,"liana merambat dengan tinggi mencapai 8 m, batang berbentuk silindris dan berongga, permukaan bersisik, bunga menjuntai berwarna merah keunguan, berbau harum, buah bersegi lima memanjang dan berwarna cokelat, digunakan sebagai obat cacing",〔Combretum indicum〕,,,,,,,Analitical,Encyclopedic
filet delais,,celana komprang,,,celana,,,,noun,yes,,,,,celana kombor,,,,,,,,Synonym,
filet mignon,,celetok,,,,/cêlêtok/,,,noun,,,,Sunda,,sumber api dari serbuk kawung yang digosok dengan dua bilah bambu,,,,,,,,Analitical,
filet troncom,,celola,,,,/cêlola/,,,noun,,,,Jawa,,anak tokek; celolmeo; celolo,,,,,,,,Synonym,
film teatrikal,,celolmeo,,,,/cêlolmeo/,,,noun,,,,Jawa,,celola,,,,,,,,Synonym,
form,,cemceman,yes,1,,/cêmcêman/,,,noun,,,,,,minyak rambut yang berkhasiat untuk kesehatan rambut terbuat dari campuran minyak kelapa dan berbagai bunga,,,,,,,,Analitical,
fosfen,,cemceman,yes,2,,/cêmcêman/,,,noun,,,yes,,,wanita simpanan; kekasih gelap,,,,,,,,Analitical,Synonym
foto udara,,cendawan merah,,,cendawan,,,,noun,yes,,,,,jamur brama,,,,,,,,Synonym,
fujinkai,,centang,,,,/cêntang/,,,noun,,,,Sunda,,"pematang yang melengkung, tidak lurus",,,,,,,,Analitical,
gabus pucung,,cente,,,,/cênte/,,,noun,,,,Sunda,,wadah minyak dari porselen,,,,,,,,Analitical,
gagampam,,ceplukan,,,,/cêplukan/,,,noun,,,,,,cecendet,,,,,,,,Synonym,
gagape,,cerabut,,,cabut,,,,verb,,,,,,lepas; cabut,,,,,,,,Synonym,
gaki,,cetiya,,,,,,,noun,,,,,Agama Buddha,rumah ibadah umat Buddha berukuran kecil yang dapat dimiliki oleh perorangan,,,,,,,,Analitical,
galapak,,cewo,,,,,,,noun,,,,Sunda,,wadah air untuk mencuci tangan setelah makan,,,,,,,,Analitical,
gambit,,cgs,,,,,,,noun,,abbreviation,,,,sistem pengukuran; centimetre gram  second,,,,,,,,Analitical,Abbreviation Expansion
ganace,,cia,,,,,,,noun,yes,,,,,"tanaman herba tahunan yang biasanya berbunga ungu, biru, atau putih, berdaun hijau limau dengan serat daun berlawanan dan tepi bergerigi, dapat tumbuh hingga 3 meter, termasuk dalam genus Slavia, banyak ditemukan di Amerika Barat Daya hingga Argentina, memiliki biji keabuan dan berminyak yang biasa digunakan dalam berbagai makanan dan minuman",,,,,,,,Analitical,Encyclopedic
gangguan obsesif kompulsif,,cici,yes,2,,,,,noun,,,,Bugis,,"butiran-butiran kecil pada jagung yang sudah digiling (sebagai pengganti beras), mengapung bila dicuci (diberi air)",,,,,,,,Analitical,
ganjil genap,,cicirumbu,,,,,,,noun,,,,Kimaam,,"kayu pohon yang digunakan untuk mengobati segala macam penyakit, dengan cara dikunyah disemburkan, disertai mantra ke orang yang sakit",,"saya mencari -- di hutan, untuk pengobatan ibu",,,,,,Analitical,
gari,,cincai,,,,,,,adjective,,,yes,Cina,,maklum; bisa diatur; terserah,,,,,,,,Synonym,
garpu ikan,,cincai,,,,,,,verb,,,yes,Cina,,sepakat; setuju,,,,,,,,Synonym,
gatot,,cinta platonik,,,cinta,,,,noun,yes,,,,Psikologi,cinta kasih tanpa nafsu,,,,,,,,Analitical,
gaya Coriolis,,cinta segitiga,,,cinta,,,,noun,yes,idiomatic expression,,,,hubungan percintaan yang terjadi di antara tiga orang,,,,,,,,Analitical,
gedung parkir,,cinta setengah mati,,,cinta,,,,noun,yes,idiomatic expression,,,,sangat cinta,,,,,,,,Synonym,
gejala sastra,,ciparanje,,,,,,,noun,,,,Sunda,,ayam berjengger tiga,,,,,,,,Analitical,
gerapyak,,ciremi,,,,/cirêmi/,,,noun,,,,Kimaam,,"hiasan kepala terbuat dari rumput rawa halus atau pucuk daun sagu, dipakai perempuan saat menari",,,,,,,,Analitical,
gerimis bubar,,citra satelit,,,citra,,,,noun,yes,,,,,gambaran permukaan bumi yang diperoleh dari pantulan sinar matahari dari objek yang diterima oleh sensor wahana satelit,,,,,,,,Analitical,
gibas,,citta,,,,,,,noun,,,,,,bulan ke-4 tahun Buddhis (bulan Maret--April tahun Masehi),,,,,,,,Analitical,
gidau,,clemer,,,,/clêmêr/,,,adjective,,,,Jawa,,suka mengambil barang milik orang lain (mencuri; mengutil),,,,,,,,Analitical,Synonym
gisi,,coban,yes,2,,,,,noun,,,,Sunda,,tongkat dengan ujung terbelah yang digunakan menjepit bibit padi untuk ditanamkan dalam tanah,,,,,,,,Analitical,
gogoli,,colet,yes,2,,,,,noun,,,,,,teknik pewarnaan pada kain dengan menggunakan kuas seperti melukis,,,,,,,,Analitical,
granola,,colongan,,,colong,,,,noun,,,yes,,,curian,,,,,,,,Synonym,
guliran,,condre,yes,2,,,,,noun,,,,Jawa,,alat semacam serok untuk menangkap udang di sungai,,,,,,,,Analitical,
gunseibu,,cuacaru,,,,,,,noun,,,,Kimaam,,"warna putih pada tifa khas Kimaam, melambangkan matahari terbit dan matahari terbenam",,,,,,,,Analitical,
habis,,cubek,,,,,,,noun,,,,Aceh,,"alat dari besi, berbentuk tongkat berukuran sekitar 20 cm, digunakan untuk menumbuk sirih dalam lesung besi",,,,,,,,Analitical,
habis pakai,,cubluk,,,,,,,noun,,,,,,pengolahan kotoran manusia menjadi kompos,,,,,,,,Analitical,
hadiah lawang,,cucak timor,,,,,,,noun,,,,,,aluakas,,,,,,,,Synonym,
haji furada,,cue,,,,,,,noun,,,,,,pindang,,,,,,,,Synonym,
hak digital,,curcol,,,,,,,noun,,,yes,,,"curhat colongan; curhat yang dilakukan bersamaan dengan hal lain yang tidak berhubungan secara langsung, tidak pada waktu dan tempat yang tepat, atau terjadi karena berkaitan dengan topik yang sedang dibicarakan",,,,,,,,Abbreviation Expansion,Analitical
hamin,,curiwis,,,,,,,noun,,,,Sunda,,bunga rumput gelagah,,,,,,,,Analitical,
hematolog,,da,yes,3,,,,,noun,,,,,Musik,"nada pertama pada urutan tangga nada pentatonik, dilambangkan dengan angka 1",,,,,,,,Analitical,
hepatoblastoma,,dada tipis,,,dada,,,,noun,yes,idiomatic expression,,Melayu Manado,,"orang yang rentan sekali terhadap penyakit, misalnya karena angin malam",,,,,,,,Analitical,
Hermes,,dahar kembul,,,,/dahar kêmbul/,,,noun,,,,Jawa,,prosesi perkawinan dengan kedua pengantin  makan bersama dan saling menyuapi,,,,,,,,Analitical,
hidangan sepinggan,,dakhineyo,,,,,,,adjective,,,,,Agama Buddha,patut menerima jasa yang tiada tara (tentang biksu),,,,,,,,Analitical,
hiperdefekasi,,danau kawah,,,danau (1),,,,noun,yes,,,,Geografi dan Geologi,danau vulkanis,,,,,,,,Synonym,
hiperfagi,,danau tektovulkanis,,,danau (1),,,,noun,yes,,,,Geografi dan Geologi,danau alami yang terbentuk karena gabungan proses tektonik dan vulkanis,,,,,,,,Analitical,
hipernasionalisme,,dapur bersama,,,dapur (1),,,,noun,yes,,,,,"dapur dengan fasilitas memasak yang memadai untuk menyiapkan makanan yang tidak dikonsumsi di tempat atau hanya berupa layanan pesan antar, dapat berupa dapur yang disewakan atau dapur yang digunakan oleh beberapa restoran virtual; dapur hantu",,,,,,,,Analitical,
hipokinetik,,dapur hantu,,,dapur (1),,,,noun,yes,idiomatic expression,,,,dapur bersama,,,,,,,,Synonym,
histeroskopi,,darne,,,,/darnê/,,,noun,,,,,Tata Boga,"potongan ikan yang diiris melintang, potongan berbentuk bulat utuh, digunakan untuk membuat steik",,,,,,,,Analitical,
HKI,,dasair,,,,,,,noun,,,,Kur,,tradisi menyambut perahu baru dengan memercikkan air dari tempurung kelapa ke perahu,,tua-tua adat berkumpul untuk memimpin pelaksanaan --,,,,,,Analitical,
hoho,,dasariah,,,,,,,noun,,,,,,bersifat mendasar; yang dasar,,,,,,,,Analitical,Synonym
hoiltom,,dasawisma,,,,,,,noun,,,,,,kelompok yang terdiri atas sepuluh anggota akseptor KB atau kader PKK dalam satu lingkungan terdekat,,,,,,,,Analitical,
holtikultura,,daun rambu,,,daun,,,,noun,yes,,,,,pelat aluminium atau bahan lain yang memenuhi persyaratan teknis sebagai tempat ditempelkannya rambu,,,,,,,,Analitical,
hortikultur,,dawelor,,,,,,,noun,,,,,,"suku bangsa yg berasal dr atau mendiami wilayah Kabupaten Maluku Barat Daya, Provinsi Maluku",,,,,,,,Analitical,
hotel suit,,dawelor,,,,,,,noun,,,,,,bahasa yg dituturkan oleh suku Dawelor,,,,,,,,Analitical,
HTS,,demprak,,,,,,,noun,,,,Sunda,,permukaan datar yang bisa digunakan untuk duduk atau salat seperti batu dan permukaan tanah,,,,,,,,Analitical,
huan,,den haag,,,,,,,noun,,,,,,"kota di Belanda, merupakan kota diselenggarakannya Konferensi Meja Bundar",,,,,,,,Analitical,
hudis,,depresi pascalahir,,,depresi,,,,noun,yes,,,,Psikologi,"depresi sedang hingga parah pada wanita setelah melahirkan, biasanya terjadi segera, tiga bulan, atau setahun setelah melahirkan",,,,,,,,Analitical,
"hujan keris lembing di negeri kita, hujan emas perak di negeri orang, baik jua di negeri kita",,depresi perinatal,,,depresi,,,,noun,yes,,,,Psikologi,"depresi yang dialami saat hamil atau setelah melahirkan, ditandai dengan kesedihan, kecemasan, dan kelelahan ekstrem yang mengganggu aktivitas sehari-hari",,,,,,,,Analitical,
