list,,headword,nonprimary sense,number,lemma,pronunciation,nonstandard_variant,variants,word_class,class_added_manually,type,spoken_words,language_origin,domain,definition,info,example_sentence,etymology,derivative_forms,multi-word_forms,proverb,idiom,definition_type_1,definition_type_2
,,tidur cantik,,,tidur,,,,verb,yes,,,,,tidur yang dilakukan demi menjaga atau meningkatkan kecantikan dengan waktu tidur yang cukup,,,,,,,,Analitical,
,,tigon,,,,,,,noun,,,,,,mamalia karnivor hasil persilangan harimau jantan dan singa betina,,,,,,,,Analitical,
,,tilakana,,,,,,,noun,,,,,Agama Buddha,"tiga corak kehidupan yang berisi perubahan, penderitaan, dan ketidakkekalan inti",,,,,,,,Analitical,
,,timor leste,,,,,,,noun,,,,,,"negara yang terletak di Asia Tenggara, beribu kota Dili",,,,,,,,Analitical,
,,timuru,,,,,,,noun,,,,Gorontalo,,angin timur,,,,,,,,Synonym,
,,tipitaka,,,,,,,noun,,,,,Agama Buddha,Tripitaka,,,,,,,,Synonym,
,,tipografer,,,,/tipografêr/,,,noun,,,,,,ahli tipografi,,,,,,,,Synonym,
,,tipografer,,,,/tipografêr/,,,noun,,,,,,"pendesain yang ahli dalam pemilihan serta pengaturan gaya, tata letak, dan tampilan huruf atau fon pada cetakan",,,,,,,,Analitical,
,,tisu dapur,,,tisu,,,,noun,yes,,,,,"kertas tisu, berupa gulungan yang dapat dirobek menjadi lembaran, biasa digunakan untuk menyerap minyak pada gorengan atau membersihkan area dapur yang terkena tumpahan",,,,,,,,Analitical,
,,tisu toilet,,,tisu,,,,noun,yes,,,,,kertas tisu berbentuk gulungan yang digunakan untuk mengeringkan atau membersihkan diri setelah buang air besar dan kecil,,,,,,,,Analitical,
,,titik kumpul,,,titik (1),,,,noun,yes,,,,Perhotelan,titik di area luar hotel tempat karyawan dan tamu hotel berkumpul saat keadaan darurat,,,,,,,,Analitical,
,,tolok,yes,5,,,,,noun,,,,Sunda,,keranjang untuk menampung padi saat panen,,,,,,,,Analitical,
,,tolubea,,,,,,,noun,,,,,,nama seseorang yang digunakan setelah memiliki cucu pada beberapa etnis di Sulawesi Utara,,,,,,,,Analitical,
,,tongpan,,,,,,,noun,,,,Melayu Kalimantan,,anak hasil kawin campur,,--  itu pandai di kelasnya,,,,,,Analitical,
,,totonihe,,,,,,,noun,,,,Gorontalo,,"pasak yang dipasang menyerupai anak tangga di pohon enau, digunakan untuk memanjat",,,,,,,,Analitical,
,,tppt,,,,,,,noun,,abbreviation,,,,tindak pidana pendanaan terorisme,,,,,,,,Abbreviation Expansion,
,,tppu,,,,,,,noun,,abbreviation,,,,tindak pidana pencucian uang,,,,,,,,Abbreviation Expansion,
,,trinitarian,,,,,,,noun,,,,,,ajaran atau paham trinitas,,,,,,,,Analitical,
,,trinitarian,,,,,,,noun,,,,,,penganut ajaran atau paham trinitas,,,,,,,,Analitical,
,,ttm,,,,,,,noun,,abbreviation,yes,,,teman tapi mesra,,,,,,,,Abbreviation Expansion,
,,tuana moroa,,,tuana,,,,noun,yes,,,,,"golongan lapisan teratas (keturunan raja-raja) di suku Lore, Sulawesi Tengah",,,,,,,,Analitical,
,,tunamoral,,,,,,,adjective,,,,,,tidak memiliki moral,,,,,,,,Analitical,
,,tupang,yes,2,,,,,noun,,,,Batak,,kayu bercabang yang digunakan sebagai pengganti tangga,,,,,,,,Analitical,
,,turkmenistan,,,,,,,noun,,,,,,"negara yang terletak di Asia Tengah, beribu kota Ashgabat",,,,,,,,Analitical,
,,tuto,,,,,,,noun,,,,Sangir,,"penganan berbahan dasar sagu dan gula halus yang disiram dengan air mendidih, diaduk, dan disajikan hangat-hangat",,,,,,,,Analitical,
,,tutumbakan,,,,,,,noun,,,,Sunda,,"penangkal untuk bayi dari gangguan makhluk halus yang terbuat dari cabai merah, kunyit, bangle, bawang merah, dan ditusuk dengan tusuk satai",,,,,,,,Analitical,
,,uccasayana mahasayana veramani sikkhapadam samadiyami,,,,,,,adjective,yes,figurative,,Sanskerta,,"bertekad untuk melatih diri menghindari penggunaan tempat tidur, tempat duduk yang tinggi, dan mewah (tentang dasasila dalam agama Buddha)",,,,,,,,Analitical,
,,upajja vedaniya kamma,,,,,,,noun,yes,figurative,,Sanskerta,,karma yang menghasilkan akibat pada kehidupan berikutnya dalam agama Buddha,,,,,,,,Analitical,
,,upasaka,,,,,,,noun,,,,,Agama Buddha,perumah tangga laki-laki (tentang umat Buddha laki-laki yang tidak meninggalkan kehidupan duniawi),,,,,,,,Analitical,
,,upasika,,,,,,,noun,,,,,,perumah tangga perempuan (tentang umat Buddha perempuan yang tidak meninggalkan kehidupan duniawi),,,,,,,,Analitical,
,,usaha gabungan,,,usaha,,,,noun,yes,,,,,usaha bersama; usaha patungan,,,,,,,,Synonym,
